pulse,frames,n_frames,Alice0,Alice1,Bob0,Bob1,total,Alice0_frac,Alice1_frac,Bob0_frac,Bob1_frac
0,"80,81,82",3,2943.3333333333335,1672.0,3214.6666666666665,1893.0,9723.0,0.30271863965168505,0.17196338578627995,0.3306249785731427,0.1946929959888923
1,"163,164,165,166",4,1451.25,5824.0,1140.25,4702.0,13117.5,0.11063464837049743,0.4439870402134553,0.0869258623975605,0.3584524490184868
2,"194,195,196",3,1811.0,7639.333333333333,1529.6666666666667,8554.0,19534.0,0.09271014641138528,0.39107880277123647,0.07830790757994609,0.4379031432374322
3,"255,256,257,258",4,4140.5,1611.5,5532.25,2013.0,13297.25,0.3113801725920773,0.12119047171407622,0.41604467089059766,0.1513846848032488
4,"283,284,285",3,3953.0,1749.3333333333333,3884.6666666666665,1605.0,11192.0,0.3531987133666905,0.1563021205623064,0.3470931617822254,0.1434060042887777
5,"350,351,352",3,1753.3333333333333,7574.666666666667,1438.0,8399.0,19165.0,0.09148621619271241,0.39523436820593094,0.07503261153143752,0.4382468040699191
6,"381,382,383",3,1762.0,7644.0,1431.3333333333333,6079.0,16916.333333333336,0.10415968787562314,0.4518709728270507,0.08461250467989516,0.35935683461743084
7,"409,410,411,412",4,1678.5,5988.5,820.75,3147.0,11634.75,0.1442660994005028,0.5147080942865124,0.07054298545306087,0.2704828208599239
8,"439,440,441,442",4,1816.5,6021.5,1239.75,6793.5,15871.25,0.11445223281090021,0.37939670788375207,0.07811294006458218,0.4280381192407655
9,"506,507,508,509,510",5,2852.8,1547.4,3573.2,1687.6,9661.0,0.29529034261463616,0.16016975468378017,0.36985819273367143,0.1746817099679122
10,"576,577,578",3,1996.0,7419.0,1496.6666666666667,5956.0,16867.666666666664,0.1183329051637255,0.43983558287058083,0.08872991719858508,0.35310159476710873
11,"638,639,640,641",4,4028.25,1378.5,4134.75,2048.75,11590.25,0.34755505705226375,0.11893617480209659,0.3567438148443735,0.17676495330126615
12,"662,663,664,665",4,3328.0,1370.0,2992.75,1878.5,9569.25,0.3477806515662147,0.14316691485748623,0.31274655798521306,0.19630587559108603
13,"687,688,689,690",4,3275.0,1376.5,1730.0,1925.5,8307.0,0.39424581678102805,0.1657036234501023,0.20825809558203925,0.2317924641868304
14,"742,743,744,745",4,1593.75,6580.5,1250.5,4260.0,13684.75,0.1164617548731252,0.4808637351796708,0.09137908986280349,0.31129542008440053
15,"773,774,775",3,1650.6666666666667,8356.0,1458.3333333333333,5389.0,16854.0,0.09793916379890036,0.4957873501839326,0.0865274316680511,0.31974605434911596
16,"798,799,800,801",4,1773.75,9394.25,1220.75,4459.75,16848.5,0.10527643410392616,0.5575718906727601,0.07245452117399175,0.2646971540493219
17,"828,829,830,831",4,1782.5,6639.5,1637.75,4464.75,14524.5,0.1227236737925574,0.4571241695066956,0.1127577541395573,0.3073944025611897
18,"864,865,866,867",4,1793.25,6588.5,1286.25,4500.25,14168.25,0.1265682070827378,0.4650186155664955,0.09078397120321846,0.3176292061475482
19,"940,941,942,943",4,2428.0,1689.0,2997.25,1956.0,9070.25,0.2676883217110885,0.18621316942752406,0.3304484440891927,0.2156500647721948
20,"1010,1011,1012",3,1860.6666666666667,8275.0,1889.0,5351.666666666667,17376.333333333332,0.10708051180724741,0.47622244815745557,0.10871108212319439,0.3079859579121027
21,"1072,1073,1074,1075",4,3441.75,1951.0,3006.75,2256.5,10656.0,0.32298704954954954,0.18308933933933935,0.2821649774774775,0.21175863363363365
22,"1132,1133,1134,1135",4,1714.0,6508.5,1185.75,2833.25,12241.5,0.14001552097373687,0.531675039823551,0.09686312951844137,0.2314463096842707
23,"1192,1193,1194,1195",4,3402.5,1608.0,3016.75,2214.0,10241.25,0.33223483461491515,0.1570120834859026,0.29456853411448797,0.21618454778469426
24,"1216,1217,1218,1219",4,3557.25,1734.0,3116.0,2007.75,10415.0,0.3415506481036966,0.16649063850216034,0.2991838694191071,0.192774843975036
