video,angle_combination,alice_threshold,bob_threshold,alice_peak_count,bob_peak_count,agreements,alice_only,bob_only,alice_peak_frames,bob_peak_frames
videos/1.mp4,1,0.8400000000000003,0.9400000000000004,21,14,5,16,9,"[np.int64(48), np.int64(128), np.int64(183), np.int64(217), np.int64(306), np.int64(501), np.int64(586), np.int64(712), np.int64(727), np.int64(739), np.int64(832), np.int64(936), np.int64(963), np.int64(1001), np.int64(1066), np.int64(1090), np.int64(1133), np.int64(1177), np.int64(1205), np.int64(1221), np.int64(1287)]","[np.int64(251), np.int64(339), np.int64(463), np.int64(483), np.int64(531), np.int64(711), np.int64(739), np.int64(895), np.int64(941), np.int64(991), np.int64(1001), np.int64(1067), np.int64(1081), np.int64(1143)]"
videos/2.mp4,2,0.9400000000000004,0.9600000000000004,10,3,1,9,2,"[np.int64(220), np.int64(235), np.int64(341), np.int64(491), np.int64(517), np.int64(642), np.int64(713), np.int64(753), np.int64(781), np.int64(892)]","[np.int64(413), np.int64(781), np.int64(925)]"
videos/3.mp4,3,0.9000000000000004,0.9600000000000004,2,19,1,1,18,"[np.int64(250), np.int64(792)]","[np.int64(37), np.int64(143), np.int64(215), np.int64(249), np.int64(432), np.int64(453), np.int64(521), np.int64(839), np.int64(863), np.int64(887), np.int64(923), np.int64(967), np.int64(983), np.int64(1007), np.int64(1041), np.int64(1059), np.int64(1082), np.int64(1089), np.int64(1098)]"
videos/4.mp4,4,0.8400000000000003,0.9200000000000004,19,25,8,11,17,"[np.int64(39), np.int64(101), np.int64(137), np.int64(203), np.int64(231), np.int64(264), np.int64(293), np.int64(347), np.int64(452), np.int64(515), np.int64(583), np.int64(619), np.int64(647), np.int64(675), np.int64(706), np.int64(731), np.int64(793), np.int64(868), np.int64(901)]","[np.int64(9), np.int64(107), np.int64(176), np.int64(223), np.int64(251), np.int64(349), np.int64(407), np.int64(418), np.int64(441), np.int64(451), np.int64(553), np.int64(619), np.int64(674), np.int64(705), np.int64(731), np.int64(782), np.int64(816), np.int64(843), np.int64(851), np.int64(866), np.int64(878), np.int64(884), np.int64(900), np.int64(921), np.int64(929)]"
videos/5.mp4,5,0.5,0.5,1,1,0,1,1,[np.int64(221)],[np.int64(1093)]
videos/6.mp4,6,0.5,0.5,1,1,0,1,1,[np.int64(311)],[np.int64(483)]
videos/7.mp4,7,0.5,0.5,1,1,0,1,1,[np.int64(686)],[np.int64(751)]
videos/8.mp4,8,0.5,0.5,1,1,0,1,1,[np.int64(561)],[np.int64(284)]
videos/9.mp4,9,0.9600000000000004,0.9400000000000004,3,7,2,1,5,"[np.int64(401), np.int64(526), np.int64(647)]","[np.int64(115), np.int64(402), np.int64(521), np.int64(587), np.int64(853), np.int64(915), np.int64(966)]"
videos/10.mp4,10,0.6400000000000001,0.8600000000000003,13,15,6,7,9,"[np.int64(50), np.int64(147), np.int64(281), np.int64(343), np.int64(457), np.int64(575), np.int64(608), np.int64(698), np.int64(913), np.int64(964), np.int64(1013), np.int64(1043), np.int64(1119)]","[np.int64(83), np.int64(149), np.int64(188), np.int64(220), np.int64(277), np.int64(391), np.int64(458), np.int64(643), np.int64(780), np.int64(810), np.int64(890), np.int64(1014), np.int64(1045), np.int64(1099), np.int64(1120)]"
videos/11.mp4,11,0.9000000000000004,0.9200000000000004,13,13,5,8,8,"[np.int64(48), np.int64(123), np.int64(182), np.int64(213), np.int64(275), np.int64(376), np.int64(522), np.int64(587), np.int64(615), np.int64(776), np.int64(809), np.int64(837), np.int64(969)]","[np.int64(37), np.int64(43), np.int64(155), np.int64(212), np.int64(222), np.int64(379), np.int64(385), np.int64(427), np.int64(461), np.int64(705), np.int64(715), np.int64(839), np.int64(971)]"
videos/12.mp4,12,0.9200000000000004,0.7800000000000002,11,2,2,9,0,"[np.int64(113), np.int64(145), np.int64(280), np.int64(309), np.int64(429), np.int64(489), np.int64(550), np.int64(634), np.int64(745), np.int64(856), np.int64(960)]","[np.int64(747), np.int64(855)]"
videos/13.mp4,13,0.5,0.5,1,16,0,1,16,[np.int64(779)],"[np.int64(65), np.int64(98), np.int64(105), np.int64(131), np.int64(162), np.int64(189), np.int64(311), np.int64(348), np.int64(377), np.int64(405), np.int64(433), np.int64(461), np.int64(491), np.int64(549), np.int64(707), np.int64(849)]"
videos/14.mp4,14,0.5,0.5,1,20,0,1,20,[np.int64(581)],"[np.int64(1), np.int64(13), np.int64(19), np.int64(35), np.int64(44), np.int64(75), np.int64(106), np.int64(137), np.int64(169), np.int64(181), np.int64(207), np.int64(236), np.int64(303), np.int64(363), np.int64(481), np.int64(517), np.int64(635), np.int64(667), np.int64(695), np.int64(907)]"
videos/15.mp4,15,0.5,0.5,1,20,1,0,19,[np.int64(490)],"[np.int64(201), np.int64(218), np.int64(265), np.int64(287), np.int64(301), np.int64(401), np.int64(435), np.int64(490), np.int64(653), np.int64(681), np.int64(765), np.int64(825), np.int64(875), np.int64(883), np.int64(901), np.int64(925), np.int64(939), np.int64(951), np.int64(987), np.int64(1029)]"
videos/16.mp4,16,0.5,0.5,1,1,1,0,0,[np.int64(784)],[np.int64(785)]
