pulse,frames,n_frames,Alice0,Alice1,Bob0,Bob1,total,Alice0_frac,Alice1_frac,Bob0_frac,Bob1_frac
0,53,1,36127.0,9857.0,61103.0,16600.0,123687.0,0.29208405087034206,0.07969309628336042,0.49401311374679635,0.13420973909950115
1,91,1,44487.0,11481.0,73654.0,20735.0,150357.0,0.29587581555896963,0.07635826732376944,0.489860797967504,0.13790511914975692
2,"151,152,153,154",4,11910.75,32931.75,19145.75,36575.0,100563.25,0.11844038453411161,0.32747300828085807,0.19038515561102093,0.3637014515740094
3,"179,180,181",3,13184.666666666666,44990.666666666664,19427.666666666668,53119.0,130722.0,0.10086034995384607,0.34417058082546675,0.14861818719623834,0.40635088202444886
4,"206,207,208,209",4,11945.5,35066.25,20285.25,42282.0,109579.0,0.10901267578641893,0.3200088520610701,0.18511986785789247,0.3858586042946185
5,"235,236,237,238",4,11845.75,34926.75,19089.0,43110.25,108971.75,0.10870477899088525,0.32051196755122313,0.1751738409266622,0.39560941253122944
6,"262,263,264",3,10535.666666666666,44178.666666666664,17342.0,10914.666666666666,82971.0,0.12698010951617633,0.532459132307272,0.20901278760048692,0.1315479705760647
7,"288,289,290",3,12872.666666666666,44977.333333333336,22310.666666666668,53018.666666666664,133179.33333333334,0.09665663841737206,0.33772006667701193,0.16752348963052324,0.3980998052750927
8,"346,347,348",3,31739.666666666668,9257.666666666666,51793.333333333336,13776.0,106566.66666666667,0.2978385986862684,0.08687206756334062,0.48601814200813265,0.12927119174225837
9,"404,405,406",3,10191.666666666666,42337.333333333336,21792.0,51675.0,125996.0,0.08088881128501434,0.3360212493518313,0.172957871678466,0.4101320676846884
10,"431,432,433",3,12930.0,44372.666666666664,21411.0,32328.333333333332,111041.99999999999,0.11644242718971201,0.3996025527878341,0.19281893337656025,0.2911360866458938
11,"456,457,458",3,13010.666666666666,44665.666666666664,21480.666666666668,53818.0,132975.0,0.09784295293601554,0.3358952183994485,0.16153913642915335,0.4047226922353826
12,"481,482,483,484",4,12140.5,35167.75,19508.5,42457.0,109273.75,0.11110170557887873,0.3218316384310047,0.1785286951349249,0.38853796085519166
13,"541,542,543,544",4,16484.25,8771.0,42830.0,11784.75,79870.0,0.2063885063227745,0.1098159509202454,0.5362464004006511,0.14754914235632904
14,"587,588,589",3,31257.0,8105.333333333333,53162.666666666664,12537.0,105062.0,0.29751004168966894,0.07714809667942103,0.5060123228823615,0.11932953874854847
15,"606,607,608",3,20239.0,9978.666666666666,53614.0,13082.666666666666,96914.33333333333,0.2088339186154095,0.10296378588650458,0.5532102234619578,0.13499207203612812
16,"673,674,675",3,10624.666666666666,42622.666666666664,21887.0,51360.333333333336,126494.66666666666,0.083993001022441,0.33695228257317833,0.17302705779426802,0.40602765861011275
17,"705,706,707,708",4,11652.25,48523.75,16927.5,58371.5,135475.0,0.08601033400996494,0.358174940025835,0.12494925262963646,0.4308654733345636
18,"767,768,769",3,31315.333333333332,9492.666666666666,33045.666666666664,16757.666666666668,90611.33333333333,0.3456006239101805,0.10476246532810465,0.3646968370402525,0.1849400737214624
19,"845,846,847",3,14794.666666666666,42066.0,19406.666666666668,52105.666666666664,128373.0,0.11524749493013847,0.3276857283073544,0.15117405269540066,0.4058927240671065
20,"903,904,905",3,51492.0,11165.333333333334,53873.0,12265.666666666666,128796.00000000001,0.3997950246902077,0.08669006283839042,0.41828162365290844,0.09523328881849331
21,"967,968,969,970",4,10368.5,42207.75,17592.5,32627.25,102796.0,0.10086481964278765,0.41059720222576757,0.17113992762364294,0.31739805050780184
22,"1036,1037,1038",3,27411.333333333332,12043.666666666666,14452.0,9264.333333333334,63171.333333333336,0.4339204491488755,0.19065082263051805,0.22877465517059425,0.14665407305001213
23,"1098,1099,1100,1101",4,13153.75,42613.5,13822.5,10411.5,80001.25,0.16441930594834456,0.5326604271808253,0.17277855033515102,0.13014171653567913
24,"1165,1166,1167",3,43138.0,9012.666666666666,14324.0,9515.666666666666,75990.33333333333,0.5676774677480908,0.1186028047427085,0.18849765979006103,0.1252220677191397
25,"1230,1231,1232,1233",4,9704.25,40036.5,12505.0,11739.75,73985.5,0.13116421460961944,0.5411398179372985,0.16901960519290943,0.1586763622601726
26,"1269,1270,1271,1272",4,13162.75,58913.75,12173.25,11352.5,95602.25,0.1376824290223295,0.6162381115507218,0.1273322542094982,0.11874720521745043
27,"1341,1342,1343,1344",4,33902.5,10202.25,14547.0,9455.0,68106.75,0.4977847276518113,0.14979792751819754,0.21359116387142243,0.13882618095856872
28,"1396,1397",2,20999.0,76350.0,13861.0,11949.5,123159.5,0.17050247849333589,0.6199278171801607,0.11254511426239958,0.09702459006410387
29,"1433,1434,1435",3,20587.666666666668,53358.333333333336,13858.0,12376.333333333334,100180.33333333333,0.2055060707191365,0.5326228368176056,0.1383305439191325,0.12354054854412544
30,"1463,1464,1465,1466",4,14020.0,41543.0,13922.5,12436.75,81922.25,0.1711378776828029,0.5071027712251556,0.16994772482445245,0.1518116262675891
31,"1491,1492,1493",3,16205.666666666666,54309.0,12684.333333333334,12514.0,95713.0,0.16931520970679706,0.5674150846802419,0.1325246657542166,0.13074503985874436
32,"1561,1562,1563",3,42739.0,7655.333333333333,15215.333333333334,10832.666666666666,76442.33333333334,0.5591011961086134,0.10014520749846288,0.19904328753264985,0.14171030886027372
