video,angle_combination,alice_threshold,bob_threshold,alice_peak_count,bob_peak_count,agreements,alice_only,bob_only,alice_peak_frames,bob_peak_frames
videos/1.mp4,1,0.8400000000000003,0.9400000000000004,21,14,5,16,9,"[np.int64(48), np.int64(128), np.int64(183), np.int64(217), np.int64(306), np.int64(501), np.int64(586), np.int64(712), np.int64(727), np.int64(739), np.int64(832), np.int64(936), np.int64(963), np.int64(1001), np.int64(1066), np.int64(1090), np.int64(1133), np.int64(1177), np.int64(1205), np.int64(1221), np.int64(1287)]","[np.int64(251), np.int64(339), np.int64(463), np.int64(483), np.int64(531), np.int64(711), np.int64(739), np.int64(895), np.int64(941), np.int64(991), np.int64(1001), np.int64(1067), np.int64(1081), np.int64(1143)]"
videos/2.mp4,2,0.9400000000000004,0.9600000000000004,10,3,1,9,2,"[np.int64(220), np.int64(235), np.int64(341), np.int64(491), np.int64(517), np.int64(642), np.int64(713), np.int64(753), np.int64(781), np.int64(892)]","[np.int64(413), np.int64(781), np.int64(925)]"
videos/3.mp4,3,0.9000000000000004,0.9600000000000004,2,19,1,1,18,"[np.int64(250), np.int64(792)]","[np.int64(37), np.int64(143), np.int64(215), np.int64(249), np.int64(432), np.int64(453), np.int64(521), np.int64(839), np.int64(863), np.int64(887), np.int64(923), np.int64(967), np.int64(983), np.int64(1007), np.int64(1041), np.int64(1059), np.int64(1082), np.int64(1089), np.int64(1098)]"
videos/4.mp4,4,0.8400000000000003,0.9200000000000004,19,25,8,11,17,"[np.int64(39), np.int64(101), np.int64(137), np.int64(203), np.int64(231), np.int64(264), np.int64(293), np.int64(347), np.int64(452), np.int64(515), np.int64(583), np.int64(619), np.int64(647), np.int64(675), np.int64(706), np.int64(731), np.int64(793), np.int64(868), np.int64(901)]","[np.int64(9), np.int64(107), np.int64(176), np.int64(223), np.int64(251), np.int64(349), np.int64(407), np.int64(418), np.int64(441), np.int64(451), np.int64(553), np.int64(619), np.int64(674), np.int64(705), np.int64(731), np.int64(782), np.int64(816), np.int64(843), np.int64(851), np.int64(866), np.int64(878), np.int64(884), np.int64(900), np.int64(921), np.int64(929)]"
videos/5.mp4,5,0.8800000000000003,0.9600000000000004,6,25,4,2,21,"[np.int64(221), np.int64(257), np.int64(287), np.int64(545), np.int64(577), np.int64(609)]","[np.int64(5), np.int64(45), np.int64(86), np.int64(146), np.int64(165), np.int64(221), np.int64(257), np.int64(304), np.int64(317), np.int64(385), np.int64(401), np.int64(415), np.int64(513), np.int64(544), np.int64(559), np.int64(567), np.int64(577), np.int64(753), np.int64(773), np.int64(835), np.int64(860), np.int64(996), np.int64(1002), np.int64(1093), np.int64(1109)]"
videos/6.mp4,6,0.9000000000000004,0.9400000000000004,6,6,3,3,3,"[np.int64(311), np.int64(339), np.int64(483), np.int64(632), np.int64(661), np.int64(788)]","[np.int64(142), np.int64(221), np.int64(340), np.int64(483), np.int64(659), np.int64(942)]"
videos/7.mp4,7,0.8800000000000003,0.9400000000000004,7,5,2,5,3,"[np.int64(289), np.int64(419), np.int64(550), np.int64(686), np.int64(844), np.int64(878), np.int64(1043)]","[np.int64(139), np.int64(418), np.int64(549), np.int64(751), np.int64(1105)]"
videos/8.mp4,8,0.9400000000000004,0.9600000000000004,7,6,1,6,5,"[np.int64(49), np.int64(221), np.int64(383), np.int64(531), np.int64(561), np.int64(823), np.int64(989)]","[np.int64(175), np.int64(284), np.int64(320), np.int64(381), np.int64(611), np.int64(888)]"
videos/9.mp4,9,0.9600000000000004,0.9400000000000004,3,7,2,1,5,"[np.int64(401), np.int64(526), np.int64(647)]","[np.int64(115), np.int64(402), np.int64(521), np.int64(587), np.int64(853), np.int64(915), np.int64(966)]"
videos/10.mp4,10,0.6400000000000001,0.8600000000000003,13,15,6,7,9,"[np.int64(50), np.int64(147), np.int64(281), np.int64(343), np.int64(457), np.int64(575), np.int64(608), np.int64(698), np.int64(913), np.int64(964), np.int64(1013), np.int64(1043), np.int64(1119)]","[np.int64(83), np.int64(149), np.int64(188), np.int64(220), np.int64(277), np.int64(391), np.int64(458), np.int64(643), np.int64(780), np.int64(810), np.int64(890), np.int64(1014), np.int64(1045), np.int64(1099), np.int64(1120)]"
videos/11.mp4,11,0.9000000000000004,0.9200000000000004,13,13,5,8,8,"[np.int64(48), np.int64(123), np.int64(182), np.int64(213), np.int64(275), np.int64(376), np.int64(522), np.int64(587), np.int64(615), np.int64(776), np.int64(809), np.int64(837), np.int64(969)]","[np.int64(37), np.int64(43), np.int64(155), np.int64(212), np.int64(222), np.int64(379), np.int64(385), np.int64(427), np.int64(461), np.int64(705), np.int64(715), np.int64(839), np.int64(971)]"
videos/12.mp4,12,0.9200000000000004,0.7800000000000002,11,2,2,9,0,"[np.int64(113), np.int64(145), np.int64(280), np.int64(309), np.int64(429), np.int64(489), np.int64(550), np.int64(634), np.int64(745), np.int64(856), np.int64(960)]","[np.int64(747), np.int64(855)]"
videos/13.mp4,13,0.9000000000000004,0.8000000000000003,4,6,0,4,6,"[np.int64(67), np.int64(252), np.int64(643), np.int64(779)]","[np.int64(131), np.int64(162), np.int64(189), np.int64(461), np.int64(707), np.int64(849)]"
videos/14.mp4,14,0.9000000000000004,0.8800000000000003,12,5,0,12,5,"[np.int64(46), np.int64(75), np.int64(105), np.int64(136), np.int64(167), np.int64(305), np.int64(425), np.int64(581), np.int64(767), np.int64(807), np.int64(840), np.int64(978)]","[np.int64(236), np.int64(363), np.int64(481), np.int64(667), np.int64(695)]"
videos/15.mp4,15,0.8800000000000003,0.9000000000000004,12,9,9,3,0,"[np.int64(39), np.int64(199), np.int64(399), np.int64(433), np.int64(460), np.int64(490), np.int64(621), np.int64(652), np.int64(682), np.int64(823), np.int64(859), np.int64(985)]","[np.int64(201), np.int64(401), np.int64(435), np.int64(460), np.int64(490), np.int64(622), np.int64(653), np.int64(681), np.int64(825)]"
videos/16.mp4,16,0.8800000000000003,0.8400000000000003,5,8,5,0,3,"[np.int64(199), np.int64(596), np.int64(729), np.int64(756), np.int64(784)]","[np.int64(198), np.int64(385), np.int64(413), np.int64(443), np.int64(596), np.int64(727), np.int64(757), np.int64(785)]"
