frame,Alice0,Alice1,Bob0,Bob1,pulse_score,Alice0_excess,Alice1_excess,Bob0_excess,Bob1_excess,is_pulse,total
0,118999.0,172859.0,74425.0,134014.0,0.0,0.0,0.0,0.0,0.0,False,500297.0
1,121073.0,174607.0,77689.0,135899.0,0.0,0.0,0.0,0.0,0.0,False,509268.0
2,116971.0,174279.0,78273.0,133445.0,0.0,0.0,0.0,0.0,0.0,False,502968.0
3,117540.0,175992.0,78533.0,134062.0,0.0,0.0,0.0,0.0,0.0,False,506127.0
4,115684.0,173785.0,77405.0,130605.0,0.0,0.0,0.0,0.0,0.0,False,497479.0
5,117160.0,176352.0,75764.0,132612.0,0.0,0.0,0.0,0.0,0.0,False,501888.0
6,116153.0,175234.0,75993.0,132686.0,0.0,0.0,0.0,0.0,0.0,False,500066.0
7,111628.0,176667.0,81830.0,130679.0,0.0,0.0,0.0,0.0,0.0,False,500804.0
8,111731.0,173603.0,77552.0,126878.0,0.0,0.0,0.0,0.0,0.0,False,489764.0
9,112022.0,174681.0,78694.0,131923.0,0.0,0.0,0.0,0.0,0.0,False,497320.0
10,111408.0,163232.0,77640.0,131255.0,0.0,0.0,0.0,0.0,0.0,False,483535.0
11,116407.0,163719.0,79503.0,132775.0,0.0,0.0,0.0,0.0,0.0,False,492404.0
12,115210.0,148096.0,78787.0,131357.0,0.0,0.0,0.0,0.0,0.0,False,473450.0
13,118522.0,148450.0,81888.0,136658.0,0.0,0.0,0.0,0.0,0.0,False,485518.0
14,118168.0,160947.0,85064.0,134832.0,0.0,0.0,0.0,0.0,0.0,False,499011.0
15,118143.0,161763.0,85652.0,144204.0,0.0,0.0,0.0,0.0,0.0,False,509762.0
16,117222.0,160484.0,85016.0,143239.0,0.0,0.0,0.0,0.0,0.0,False,505961.0
17,111005.0,162350.0,80591.0,143351.0,0.0,0.0,0.0,0.0,0.0,False,497297.0
18,111032.0,162994.0,77967.0,141707.0,0.0,0.0,0.0,0.0,0.0,False,493700.0
19,110239.0,161250.0,77677.0,132263.0,0.0,0.0,0.0,0.0,0.0,False,481429.0
20,110182.0,157618.0,76982.0,132340.0,0.0,0.0,0.0,0.0,0.0,False,477122.0
21,114494.0,158198.0,85074.0,134881.0,0.0,0.0,0.0,0.0,0.0,False,492647.0
22,114092.0,160709.0,84620.0,135847.0,0.0,0.0,0.0,0.0,0.0,False,495268.0
23,114438.0,160314.0,83336.0,133671.0,0.0,0.0,0.0,0.0,0.0,False,491759.0
24,109928.0,143476.0,82889.0,132384.0,0.0,0.0,0.0,0.0,0.0,False,468677.0
25,110013.0,143535.0,77456.0,132894.0,0.0,0.0,0.0,0.0,0.0,False,463898.0
26,111651.0,159731.0,77366.0,132171.0,0.0,0.0,0.0,0.0,0.0,False,480919.0
27,110089.0,160500.0,77635.0,130640.0,0.0,0.0,0.0,0.0,0.0,False,478864.0
28,110280.0,159857.0,77523.0,129924.0,0.0,0.0,0.0,0.0,0.0,False,477584.0
29,115277.0,160201.0,77635.0,131110.0,0.0,0.0,0.0,0.0,0.0,False,484223.0
30,115001.0,143572.0,83394.0,130837.0,0.0,0.0,0.0,0.0,0.0,False,472804.0
31,115501.0,144289.0,83492.0,131719.0,0.0,0.0,0.0,0.0,0.0,False,475001.0
32,114703.0,156365.0,83127.0,131238.0,0.0,0.0,0.0,0.0,0.0,False,485433.0
33,114948.0,157130.0,83318.0,130432.0,0.0,0.0,0.0,0.0,0.0,False,485828.0
34,114117.0,157521.0,82735.0,130730.0,0.0,0.0,0.0,0.0,0.0,False,485103.0
35,115178.0,157826.0,82801.0,132078.0,0.0,0.0,0.0,0.0,0.0,False,487883.0
36,114049.0,143382.0,77476.0,131575.0,0.0,0.0,0.0,0.0,0.0,False,466482.0
37,113657.0,143453.0,77512.0,133394.0,0.0,0.0,0.0,0.0,0.0,False,468016.0
38,113960.0,143443.0,83406.0,133334.0,0.0,0.0,0.0,0.0,0.0,False,474143.0
39,108992.0,155235.0,83454.0,130690.0,0.0,0.0,0.0,0.0,0.0,False,478371.0
40,109332.0,153090.0,83215.0,130105.0,0.0,0.0,0.0,0.0,0.0,False,475742.0
41,113641.0,157320.0,86185.0,131824.0,0.0,0.0,0.0,0.0,0.0,False,488970.0
42,111366.0,155965.0,85954.0,131886.0,0.0,0.0,0.0,0.0,0.0,False,485171.0
43,112092.0,158575.0,82412.0,144286.0,0.0,0.0,0.0,0.0,0.0,False,497365.0
44,109792.0,154453.0,82328.0,143761.0,0.0,0.0,0.0,0.0,0.0,False,490334.0
45,111125.0,157044.0,76372.0,143591.0,0.0,0.0,0.0,0.0,0.0,False,488132.0
46,109435.0,153232.0,76695.0,143249.0,0.0,0.0,0.0,0.0,0.0,False,482611.0
47,112475.0,152875.0,82449.0,143208.0,0.0,0.0,0.0,0.0,0.0,False,491007.0
48,109723.0,162511.0,82016.0,142339.0,0.0,0.0,0.0,0.0,0.0,False,496589.0
49,111966.0,164013.0,76945.0,143700.0,0.0,0.0,0.0,0.0,0.0,False,496624.0
50,110031.0,164255.0,76697.0,143499.0,0.0,0.0,0.0,0.0,0.0,False,494482.0
51,115215.0,164871.0,76869.0,144421.0,0.0,0.0,0.0,0.0,0.0,False,501376.0
52,114593.0,167346.0,124348.0,143486.0,0.2523338629482952,0.0,0.0,0.2523338629482952,0.0,False,549773.0
53,148486.0,171149.0,124393.0,136984.0,0.2541124206565643,0.0,0.0,0.2541124206565643,0.0,True,581012.0
54,147965.0,163649.0,74606.0,130236.0,0.0,0.0,0.0,0.0,0.0,False,516456.0
55,109285.0,164755.0,74656.0,130410.0,0.0,0.0,0.0,0.0,0.0,False,479106.0
56,109120.0,161456.0,74633.0,130187.0,0.0,0.0,0.0,0.0,0.0,False,475396.0
57,112017.0,164183.0,74838.0,132976.0,0.0,0.0,0.0,0.0,0.0,False,484014.0
58,109331.0,162980.0,74946.0,132232.0,0.0,0.0,0.0,0.0,0.0,False,479489.0
59,111420.0,163442.0,75422.0,133418.0,0.0,0.0,0.0,0.0,0.0,False,483702.0
60,110099.0,148712.0,74630.0,132082.0,0.0,0.0,0.0,0.0,0.0,False,465523.0
61,112515.0,148990.0,74325.0,132226.0,0.0,0.0,0.0,0.0,0.0,False,468056.0
62,111229.0,156465.0,74070.0,132156.0,0.0,0.0,0.0,0.0,0.0,False,473920.0
63,111455.0,158549.0,75208.0,132246.0,0.0,0.0,0.0,0.0,0.0,False,477458.0
64,109411.0,149469.0,74743.0,131679.0,0.0,0.0,0.0,0.0,0.0,False,465302.0
65,116225.0,150770.0,74869.0,134125.0,0.0,0.0,0.0,0.0,0.0,False,475989.0
66,115644.0,148852.0,73647.0,134150.0,0.0,0.0,0.0,0.0,0.0,False,472293.0
67,114605.0,149161.0,73693.0,135136.0,0.0,0.0,0.0,0.0,0.0,False,472595.0
68,113537.0,159814.0,73579.0,132184.0,0.0,0.0,0.0,0.0,0.0,False,479114.0
69,115914.0,161614.0,74142.0,132295.0,0.0,0.0,0.0,0.0,0.0,False,483965.0
70,115580.0,146977.0,74111.0,132265.0,0.0,0.0,0.0,0.0,0.0,False,468933.0
71,114540.0,147939.0,75165.0,132081.0,0.0,0.0,0.0,0.0,0.0,False,469725.0
72,113757.0,147918.0,75049.0,132020.0,0.0,0.0,0.0,0.0,0.0,False,468744.0
73,113768.0,147978.0,75099.0,133262.0,0.0,0.0,0.0,0.0,0.0,False,470107.0
74,115574.0,147903.0,75508.0,133070.0,0.0,0.0,0.0,0.0,0.0,False,472055.0
75,114152.0,149224.0,75513.0,133256.0,0.0,0.0,0.0,0.0,0.0,False,472145.0
76,114041.0,159444.0,75431.0,132949.0,0.0,0.0,0.0,0.0,0.0,False,481865.0
77,117237.0,161312.0,74344.0,133841.0,0.0,0.0,0.0,0.0,0.0,False,486734.0
78,115725.0,160830.0,74548.0,133793.0,0.0,0.0,0.0,0.0,0.0,False,484896.0
79,116000.0,162097.0,75008.0,134140.0,0.0,0.0,0.0,0.0,0.0,False,487245.0
80,114293.0,146485.0,74703.0,133942.0,0.0,0.0,0.0,0.0,0.0,False,469423.0
81,117477.0,148906.0,76001.0,136791.0,0.0,0.0,0.0,0.0,0.0,False,479175.0
82,115482.0,146898.0,75784.0,134558.0,0.0,0.0,0.0,0.0,0.0,False,472722.0
83,110100.0,147181.0,76820.0,135908.0,0.0,0.0,0.0,0.0,0.0,False,470009.0
84,109818.0,157905.0,74703.0,132511.0,0.0,0.0,0.0,0.0,0.0,False,474937.0
85,111181.0,160573.0,75443.0,132692.0,0.0,0.0,0.0,0.0,0.0,False,479889.0
86,110237.0,160781.0,74592.0,132309.0,0.0,0.0,0.0,0.0,0.0,False,477919.0
87,110860.0,161404.0,74659.0,133181.0,0.0,0.0,0.0,0.0,0.0,False,480104.0
88,109971.0,157991.0,74895.0,132833.0,0.0,0.0,0.0,0.0,0.0,False,475690.0
89,113289.0,160212.0,74927.0,136224.0,0.0,0.0,0.0,0.0,0.0,False,484652.0
