pulse,frames,n_frames,Alice0,Alice1,Bob0,Bob1,total,Alice0_frac,Alice1_frac,Bob0_frac,Bob1_frac
0,53,1,5303.0,2144.0,5215.0,2064.0,14726.0,0.3601113676490561,0.14559282900991444,0.35413554257775365,0.14016026076327584
1,91,1,6464.0,2377.0,6521.0,2485.0,17847.0,0.36218972376309744,0.13318765058553259,0.3653835378494985,0.13923908780187147
2,"151,152,153,154",4,1137.0,6297.0,1628.75,4627.25,13690.0,0.08305332359386414,0.45997078159240323,0.1189737034331629,0.33800219138056975
3,"179,180,181",3,1284.6666666666667,8598.0,1451.0,4898.333333333333,16232.0,0.07914407754230328,0.5296944307540661,0.08939132577624445,0.3017701659273862
4,"206,207,208,209",4,1117.25,6682.5,1709.5,3932.5,13441.75,0.0831178975951792,0.4971450889951085,0.12717838079119162,0.29255863261852066
5,"235,236,237,238",4,1122.0,6631.5,1614.5,4104.0,13472.0,0.08328384798099762,0.49224317102137766,0.11984115201900238,0.30463182897862234
6,"262,263,264",3,934.6666666666666,8387.333333333334,1403.6666666666667,1132.6666666666667,11858.333333333332,0.07881939564300773,0.7072944483485595,0.11836964160224879,0.09551651440618414
7,"288,289,290",3,1307.6666666666667,8547.0,1947.6666666666667,4949.666666666667,16752.0,0.07806033110474371,0.5102077363896849,0.11626472460999682,0.2954672078955747
8,"346,347,348",3,4444.333333333333,1919.0,4431.333333333333,1542.0,12336.666666666666,0.36025398540934883,0.1555525533639557,0.3592002161577952,0.1249932450689003
9,"404,405,406",3,887.0,8039.0,1910.6666666666667,4808.333333333333,15645.0,0.05669542984979226,0.5138382869926494,0.1221263449451369,0.3073399382124214
10,"431,432,433",3,1230.0,8396.333333333334,1926.6666666666667,3079.3333333333335,14632.333333333334,0.08406041415130874,0.573820534432877,0.13167186823700935,0.21044718317880493
11,"456,457,458",3,1265.3333333333333,8522.0,1858.6666666666667,5021.0,16667.0,0.0759184816303674,0.5113097738045239,0.1115177696446071,0.3012539749205016
12,"481,482,483,484",4,1106.5,6621.25,1631.0,4065.0,13423.75,0.08242853152062575,0.49324890585715614,0.12150107086320887,0.30282149175900924
13,"541,542,543,544",4,2033.25,1767.5,3664.0,1307.25,8772.0,0.23178864569083446,0.20149338805289557,0.4176926584587323,0.14902530779753762
14,"587,588,589",3,4422.333333333333,1616.0,4556.333333333333,1376.3333333333333,11971.0,0.3694205440926684,0.13499289950714227,0.3806142622448695,0.11497229415531979
15,"606,607,608",3,2577.0,2021.0,4672.0,1487.3333333333333,10757.333333333334,0.23955751115518095,0.18787183936539414,0.4343083787803669,0.138262270699058
16,"673,674,675",3,912.6666666666666,8057.333333333333,1912.0,4855.0,15737.0,0.05799495880197411,0.5119993221918621,0.12149710872466163,0.30850861028150217
17,"705,706,707,708",4,1115.5,9252.0,1309.0,5490.25,17166.75,0.06498026708608211,0.5389488400541745,0.07625205702884938,0.31981883583089404
18,"767,768,769",3,4370.333333333333,1970.6666666666667,2740.0,1942.0,11023.0,0.39647403913030327,0.17877770721824066,0.24857116937312893,0.17617708427832712
19,"845,846,847",3,1523.3333333333333,7924.0,1643.6666666666667,4840.333333333333,15931.333333333332,0.09561869690756163,0.49738460894672976,0.10317194626940622,0.3038247478763025
20,"903,904,905",3,11310.0,3110.6666666666665,4321.666666666667,1619.6666666666667,20362.0,0.5554464198015912,0.1527682283993059,0.21224175752218186,0.07954359427692106
21,"967,968,969,970",4,1180.25,12166.75,1464.0,4168.5,18979.5,0.06218551595142127,0.6410469190442319,0.07713585710898602,0.2196317078953608
22,"1036,1037,1038",3,7412.333333333333,4642.333333333333,2780.3333333333335,1180.3333333333333,16015.333333333334,0.4628272905132581,0.2898680431253382,0.17360446239020938,0.07370020397119427
23,"1098,1099,1100,1101",4,3703.5,19815.0,1206.75,2151.0,26876.25,0.13779824194223525,0.7372680340449281,0.04490023719826985,0.08003348681456676
24,"1165,1166,1167",3,13890.0,3606.0,2768.3333333333335,1312.3333333333333,21576.666666666664,0.6437509655492044,0.16712498068901593,0.1283021782790051,0.0608218754827746
25,"1230,1231,1232,1233",4,2065.0,19138.5,1149.5,2253.25,24606.25,0.0839217678435357,0.7777901955803912,0.04671577343154686,0.0915722631445263
26,"1269,1270,1271,1272",4,3655.75,28527.5,1167.25,2893.25,36243.75,0.10086566649422314,0.7871012243490257,0.03220555268149681,0.07982755647525436
